Team,Confederation,Rating,Home,Ranking
SouthKorea,AFC,69,22,23
Australia,AFC,67,31,24
Uzbekistan,AFC,59,38,49
Qatar,AFC,57,30,54
SaudiArabia,AFC,59,27,60
Iraq,AFC,54,37,61
UAE,AFC,54,28,63
Jordan,AFC,55,35,67
Oman,AFC,49,32,78
Bahrain,AFC,44,29,85
China,AFC,44,23,91
Palestine,AFC,45,26,96
Kyrgyzstan,AFC,39,39,99
Syria,AFC,42,38,100
Tajikistan,AFC,41,39,102
Indonesia,AFC,42,37,137
NorthKorea,AFC,40,28,122
Vietnam,AFC,39,31,127
Kuwait,AFC,38,28,105
Lebanon,AFC,37,34,112
Guam,AFC,7,7,202
Macau,AFC,4,4,198
Brunei,AFC,9,8,184
Bhutan,AFC,6,6,188
TimorLeste,AFC,9,9,183
Mongolia,AFC,11,10,178
Maldives,AFC,12,10,173
Pakistan,AFC,16,14,193
Bangladesh,AFC,20,14,186
SriLanka,AFC,16,12,192
Laos,AFC,12,10,182
Cambodia,AFC,11,10,169
Nepal,AFC,15,10,165
Myanmar,AFC,18,14,159
Afghanistan,AFC,20,14,157
ChineseTaipei,AFC,15,10,156
Singapore,AFC,24,10,151
Yemen,AFC,25,14,149
HongKong,AFC,25,12,148
Malaysia,AFC,35,31,140
Turkmenistan,AFC,28,30,144
Philippines,AFC,33,20,146
India,AFC,26,19,139
Thailand,AFC,36,30,135
