Team,CONCACAF,CONMEBOL,UEFA,CAF,AFC,OFC,Total
Malta,1,0,0,0,0,8,9
Mauritania,14,0,1,2,12,38,67
Mauritius,0,0,0,0,0,7,7
Mexico,100,174,169,179,194,188,1004
Moldova,3,0,1,0,0,17,21
Mongolia,0,0,0,0,0,0,0
Montenegro,24,0,1,5,7,36,73
Montserrat,0,0,0,0,0,1,1
Morocco,95,92,79,90,97,92,545
Mozambique,22,5,2,2,10,40,81
Myanmar,0,0,0,0,0,2,2
Namibia,17,0,1,3,7,35,63
Nepal,0,0,0,0,0,0,0
Netherlands,99,100,91,99,100,96,585
NewCaledonia,0,0,0,0,0,7,7
NewZealand,59,10,5,16,40,88,218
Nicaragua,2,0,0,0,0,24,26
Niger,12,0,0,1,3,35,51
Nigeria,95,81,52,79,98,85,490
NorthKorea,7,0,1,0,3,26,37
NorthMacedonia,38,3,8,7,24,52,132
NorthernIreland,45,9,4,11,25,57,151
Norway,90,76,56,80,94,86,482
Oman,30,3,2,5,20,39,99
Pakistan,0,0,0,0,0,3,3
Palestine,17,2,0,2,11,35,67
Panama,63,17,16,33,57,68,254
PapuaNewGuinea,0,0,0,0,0,2,2
Paraguay,82,74,35,69,94,87,441
Peru,68,28,7,29,71,59,262
Philippines,4,0,0,0,0,21,25
Poland,95,81,48,75,92,87,478
Portugal,99,100,98,98,100,98,593
PuertoRico,0,0,0,0,0,10,10
Qatar,62,25,5,33,63,59,247
Romania,84,33,11,57,83,60,328
Russia,87,63,45,76,92,88,451
Rwanda,11,0,0,1,3,25,40
Samoa,0,0,0,0,0,0,0
SaoTome&Principe,0,0,0,0,0,1,1
SanMarino,0,0,0,0,0,4,4
SaudiArabia,66,20,10,19,77,78,270
Scotland,86,62,29,63,85,69,394
Senegal,93,89,80,92,100,91,545
Serbia,91,86,49,85,96,81,488
Seychelles,0,0,0,0,0,0,0
SierraLeone,19,2,1,0,6,27,55
Singapore,0,0,0,0,0,10,10
Slovakia,81,56,28,69,88,82,404
Slovenia,69,23,13,51,60,65,281
SolomonIslands,0,0,0,0,0,3,3
Somalia,0,0,0,0,0,12,12
SouthAfrica,84,35,19,42,77,66,323
SouthKorea,90,61,56,72,96,90,465
SouthSudan,0,0,0,0,0,13,13
Spain,100,100,99,99,100,98,596
SriLanka,0,0,0,0,0,3,3
StKitts&Nevis,0,0,0,0,0,8,8
StLucia,0,0,0,0,0,3,3
StVincent&Grenadines,0,0,0,0,0,7,7
Sudan,16,0,0,2,5,32,55
Suriname,18,0,0,0,2,33,53
Sweden,87,80,52,74,91,82,466
Switzerland,96,95,81,85,99,92,548
Syria,19,3,0,4,7,40,73
Tahiti,0,0,0,0,0,4,4
Tajikistan,13,1,0,0,2,24,40
Tanzania,13,0,2,5,11,33,64
Thailand,3,0,0,0,2,18,23
TimorLeste,0,0,0,0,0,2,2
Togo,5,0,0,1,3,33,42
Tonga,0,0,0,0,0,0,0
Trinidad&Tobago,8,0,0,0,3,24,35
Tunisia,90,72,46,73,92,82,455
Turkmenistan,2,0,0,0,0,15,17
Turks&CaicosIslands,0,0,0,0,0,0,0
Turkey,97,82,60,82,96,96,513
Uganda,24,2,0,4,11,43,84
Ukraine,87,63,44,73,91,90,448
UAE,49,7,3,13,42,55,169
USA,100,184,167,188,198,189,1026
USVirginIslands,0,0,0,0,0,0,0
Uruguay,95,100,89,92,100,96,572
Uzbekistan,76,26,13,50,78,69,312
Vanuatu,0,0,0,0,0,0,0
Venezuela,74,29,15,52,82,78,330
Vietnam,10,0,1,0,0,18,29
Wales,87,38,26,56,87,76,370
Yemen,0,0,0,0,0,13,13
Zambia,30,3,1,2,15,35,86
Zimbabwe,19,2,2,2,9,40,74
