Team,Confederation,Ranking,Rating,Home
Kosovo,UEFA,107,48,40
Kuwait,AFC,140,38,24
Kyrgyzstan,AFC,96,38,38
Laos,AFC,187,11,7
Latvia,UEFA,133,39,33
Lebanon,AFC,101,36,33
Lesotho,CAF,151,35,46
Liberia,CAF,147,37,45
Libya,CAF,126,42,47
Liechtenstein,UEFA,203,16,10
Lithuania,UEFA,144,41,31
Luxembourg,UEFA,88,37,22
Macau,AFC,181,5,5
Madagascar,CAF,106,43,47
Malawi,CAF,125,40,48
Malaysia,AFC,136,34,30
Maldives,AFC,153,12,8
Mali,CAF,50,59,52
Malta,UEFA,171,22,25
Mauritania,CAF,98,42,48
Mauritius,CAF,179,26,26
Mexico,CONCACAF,14,68,42
Moldova,UEFA,163,30,32
Mongolia,AFC,182,10,8
Montenegro,UEFA,71,44,38
Montserrat,CONCACAF,178,10,8
Morocco,CAF,13,73,49
Mozambique,CAF,116,46,53
Myanmar,AFC,159,17,14
Namibia,CAF,111,42,48
Nepal,AFC,174,14,8
Netherlands,UEFA,7,85,21
NewCaledonia,OFC,160,21,22
NewZealand,OFC,102,54,31
Nicaragua,CONCACAF,141,34,40
Niger,CAF,127,38,48
Nigeria,CAF,39,68,51
NorthKorea,AFC,114,38,24
NorthMacedonia,UEFA,68,48,40
NorthernIreland,UEFA,64,50,25
Norway,UEFA,44,69,25
Oman,AFC,73,47,29
Pakistan,AFC,200,16,14
Palestine,AFC,95,45,24
Panama,CONCACAF,57,53,47
PapuaNewGuinea,OFC,158,12,15
Paraguay,CONMEBOL,48,64,49
Peru,CONMEBOL,21,55,56
Philippines,AFC,134,33,24
Poland,UEFA,26,68,34
Portugal,UEFA,9,86,24
PuertoRico,CONCACAF,162,28,27
Qatar,AFC,58,55,27
Romania,UEFA,47,60,39
Russia,NA,38,66,38
Rwanda,CAF,138,39,47
Samoa,OFC,189,3,5
SaoTome&Principe,CAF,186,15,11
SanMarino,UEFA,210,15,10
SaudiArabia,AFC,53,58,25
Scotland,UEFA,30,62,26
Senegal,CAF,18,72,53
Serbia,UEFA,25,68,39
Seychelles,CAF,195,14,11
SierraLeone,CAF,119,41,48
Singapore,AFC,157,24,10
Slovakia,UEFA,46,63,32
Slovenia,UEFA,60,56,33
SolomonIslands,OFC,132,15,23
Somalia,CAF,198,27,25
SouthAfrica,CAF,62,62,51
SouthKorea,AFC,28,67,22
SouthSudan,CAF,167,30,36
Spain,UEFA,10,92,25
SriLanka,AFC,206,14,10
StKitts&Nevis,CONCACAF,135,16,17
StLucia,CONCACAF,170,17,15
StVincent&Grenadines,CONCACAF,177,20,17
Sudan,CAF,130,43,51
Suriname,CONCACAF,143,41,40
Sweden,UEFA,23,67,22
Switzerland,UEFA,12,73,23
Syria,AFC,93,42,37
Tahiti,OFC,161,16,18
Tajikistan,AFC,108,39,37
Tanzania,CAF,122,44,50
Thailand,AFC,112,35,30
TimorLeste,AFC,194,8,5
Togo,CAF,121,39,45
Tonga,OFC,193,3,4
Trinidad&Tobago,CONCACAF,100,38,45
Tunisia,CAF,31,65,46
Turkmenistan,AFC,137,27,26
Turks&CaicosIslands,CONCACAF,204,3,4
Turkey,UEFA,41,70,40
Uganda,CAF,91,46,51
Ukraine,UEFA,24,66,20
UAE,AFC,72,52,27
USA,CONCACAF,11,69,26
USVirginIslands,CONCACAF,207,3,4
Uruguay,CONMEBOL,16,77,41
Uzbekistan,AFC,74,58,37
Vanuatu,OFC,164,9,12
Venezuela,CONMEBOL,56,57,59
Vietnam,AFC,94,37,31
Wales,UEFA,35,60,23
Yemen,AFC,155,24,15
Zambia,CAF,83,45,51
Zimbabwe,CAF,123,43,49
