Team,CONCACAF,CONMEBOL,UEFA,CAF,AFC,OFC,Total
Seychelles,0,0,0,0,0,0,0
SierraLeone,5,0,0,0,2,34,41
Singapore,0,0,0,0,0,4,4
Slovakia,87,57,34,64,91,80,413
Slovenia,75,25,12,12,65,64,253
SolomonIslands,0,0,0,0,0,2,2
Somalia,1,0,0,0,0,11,12
SouthAfrica,86,54,22,50,79,74,365
SouthKorea,97,68,41,75,94,87,462
SouthSudan,1,0,0,0,1,20,22
Spain,100,100,95,100,100,96,591
SriLanka,0,0,0,0,0,1,1
StKitts&Nevis,0,0,0,0,0,4,4
StLucia,0,0,0,0,0,3,3
StVincent&Grenadines,0,0,0,0,0,2,2
Sudan,11,1,1,1,6,35,55
Suriname,12,1,0,1,5,36,55
Sweden,91,75,69,72,97,86,490
Switzerland,97,91,82,86,95,84,535
Syria,13,1,1,1,6,43,65
Tahiti,0,0,0,0,0,3,3
Tajikistan,9,0,0,2,2,27,40
Tanzania,18,2,0,1,14,38,73
Thailand,5,0,0,0,0,21,26
TimorLeste,0,0,0,0,0,0,0
Togo,6,0,2,1,6,37,52
Tonga,0,0,0,0,0,0,0
Trinidad&Tobago,10,0,0,1,2,20,33
Tunisia,91,72,42,74,95,90,464
Turkmenistan,0,0,0,0,0,10,10
Turks&CaicosIslands,0,0,0,0,0,0,0
Turkey,86,82,53,75,97,88,481
Uganda,26,4,1,4,17,39,91
Ukraine,80,73,46,65,90,89,443
UAE,47,8,5,18,48,66,192
USA,100,187,170,179,196,188,1020
USVirginIslands,0,0,0,0,0,0,0
Uruguay,99,99,87,92,99,97,573
Uzbekistan,73,27,13,24,75,69,281
Vanuatu,0,0,0,0,0,0,0
Venezuela,69,38,9,27,65,63,271
Vietnam,8,0,1,0,3,24,36
Wales,77,35,31,58,82,75,358
Yemen,0,0,0,0,0,7,7
Zambia,36,1,1,1,19,44,102
Zimbabwe,11,2,0,2,9,35,59
